height,miner,signal
681707,AntPool,False
681708,WAYI.CN,False
681709,Huobi Pool,False
681710,AntPool,False
681711,AntPool,False
681712,F2Pool,True
681713,BTC.TOP,False
681714,ViaBTC,False
681715,1THash,False
681716,AntPool,False
681717,F2Pool,True
681718,Poolin,False
681719,1THash,False
681720,Binance Pool,False
681721,BTC.com,False
681722,TMSPool,False
681723,F2Pool,True
681724,OKKONG,False
681725,F2Pool,True
681726,ViaBTC,False
681727,F2Pool,True
681728,AntPool,False
681729,BTC.com,False
681730,F2Pool,True
681731,F2Pool,True
681732,ViaBTC,False
681733,Binance Pool,False
681734,Huobi Pool,False
681735,F2Pool,True
681736,Poolin,False
681737,F2Pool,True
681738,Poolin,False
681739,AntPool,False
681740,Binance Pool,False
681741,F2Pool,True
681742,F2Pool,True
681743,1THash,False
681744,F2Pool,True
681745,ViaBTC,False
681746,F2Pool,True
681747,BTC.com,False
681748,F2Pool,True
681749,F2Pool,True
681750,Rawpool,False
681751,BTC.TOP,False
681752,AntPool,False
681753,SlushPool,True
681754,Huobi Pool,False
681755,Rawpool,False
681756,AntPool,False
681757,AntPool,False
681758,AntPool,False
681759,AntPool,False
681760,ViaBTC,False
681761,Poolin,False
681762,AntPool,False
681763,Foundry USA,True
681764,AntPool,False
681765,BTC.com,False
681766,Poolin,False
681767,BTC.com,False
681768,BTC.com,False
681769,SlushPool,True
681770,1THash,False
681771,Huobi Pool,False
681772,BTCPool (unidentified),False
681773,Binance Pool,False
681774,Binance Pool,False
681775,BTC.com,False
681776,Huobi Pool,False
681777,Poolin,False
681778,AntPool,False
681779,BTC.com,False
681780,BTCPool (unidentified),False
681781,TMSPool,False
681782,BTC.TOP,False
681783,WAYI.CN,False
681784,AntPool,False
681785,Foundry USA,True
681786,Foundry USA,True
681787,Poolin,False
681788,AntPool,False
681789,EMCDPool,False
681790,F2Pool,True
681791,WAYI.CN,False
681792,Poolin,False
681793,1THash,False
681794,F2Pool,True
681795,Binance Pool,False
681796,AntPool,False
681797,Binance Pool,False
681798,F2Pool,True
681799,Foundry USA,True
681800,Poolin,False
681801,OKKONG,False
681802,SlushPool,True
681803,ViaBTC,False
681804,Huobi Pool,False
681805,Binance Pool,False
681806,AntPool,False
681807,F2Pool,True
681808,Poolin,False
681809,AntPool,False
681810,F2Pool,True
681811,Binance Pool,False
681812,BTCPool (unidentified),False
681813,AntPool,False
681814,F2Pool,True
681815,Huobi Pool,False
681816,EMCDPool,False
681817,F2Pool,True
681818,SlushPool,True
681819,Binance Pool,False
681820,F2Pool,True
681821,Huobi Pool,False
681822,Huobi Pool,False
681823,Poolin,True
681824,AntPool,False
681825,Huobi Pool,False
681826,Binance Pool,False
681827,WAYI.CN,False
681828,F2Pool,True
681829,1THash,False
681830,AntPool,False
681831,AntPool,False
681832,AntPool,False
681833,Binance Pool,False
681834,Binance Pool,False
681835,Poolin,True
681836,BTC.com,False
681837,SlushPool,True
681838,AntPool,False
681839,AntPool,False
681840,F2Pool,True
681841,F2Pool,True
681842,AntPool,False
